 posicao = [7, 16] - vizinhos: [[6, 16], [7, 15], [7, 17]] 
 posicao = [7, 17] - vizinhos: [[6, 17], [7, 16], [7, 18]] 
 posicao = [7, 18] - vizinhos: [[6, 18], [7, 17], [7, 19]] 
 posicao = [7, 19] - vizinhos: [[6, 19], [7, 18], [7, 20]] 
 posicao = [7, 20] - vizinhos: [[6, 20], [7, 19], [7, 21]] 
 posicao = [7, 21] - vizinhos: [[6, 21], [7, 20], [7, 22]] 
 posicao = [7, 22] - vizinhos: [[6, 22], [7, 21], [7, 23]] 
 posicao = [7, 23] - vizinhos: [[6, 23], [7, 22], [7, 24]] 
 posicao = [7, 24] - vizinhos: [[6, 24], [7, 23], [7, 25]] 
 posicao = [7, 25] - vizinhos: [[6, 25], [7, 24], [7, 26]] 
 posicao = [7, 26] - vizinhos: [[6, 26], [7, 25], [7, 27]] 
 posicao = [7, 27] - vizinhos: [[6, 27], [7, 26], [7, 28]] 
 posicao = [7, 28] - vizinhos: [[6, 28], [7, 27], [7, 29]] 
 posicao = [7, 29] - vizinhos: [[6, 29], [7, 28], [7, 30]] 
 posicao = [7, 30] - vizinhos: [[6, 30], [7, 29], [7, 31]] 
 posicao = [7, 31] - vizinhos: [[6, 31], [7, 30], [7, 32]] 
 posicao = [7, 32] - vizinhos: [[6, 32], [7, 31], [7, 33]] 
 posicao = [7, 33] - vizinhos: [[6, 33], [7, 32], [7, 34]] 
 posicao = [7, 34] - vizinhos: [[6, 34], [7, 33], [7, 35]] 
 posicao = [7, 35] - vizinhos: [[6, 35], [7, 34], [7, 36]] 
 posicao = [7, 36] - vizinhos: [[6, 36], [7, 35], [7, 37]] 
 posicao = [7, 37] - vizinhos: [[6, 37], [7, 36], [7, 38]] 
 posicao = [7, 38] - vizinhos: [[6, 38], [7, 37], [7, 39]] 
 posicao = [7, 39] - vizinhos: [[6, 39], [7, 38], [7, 40]] 
 posicao = [7, 40] - vizinhos: [[6, 40], [7, 39], [7, 41]] 
 posicao = [7, 41] - vizinhos: [[6, 41], [7, 40], [7, 42]] 
 posicao = [7, 42] - vizinhos: [[6, 42], [7, 41], [7, 43]] 
 posicao = [7, 43] - vizinhos: [[6, 43], [7, 42], [7, 44]] 
 posicao = [7, 44] - vizinhos: [[8, 44], [6, 44], [7, 43], [7, 45]] 
 posicao = [7, 45] - vizinhos: [[8, 45], [6, 45], [7, 44], [7, 46]] 
 posicao = [7, 46] - vizinhos: [[8, 46], [6, 46], [7, 45], [7, 47]] 
 posicao = [7, 47] - vizinhos: [[8, 47], [6, 47], [7, 46]] 
 posicao = [8, 2] - vizinhos: [[9, 2], [7, 2], [8, 3]] 
 posicao = [8, 3] - vizinhos: [[9, 3], [7, 3], [8, 2], [8, 4]] 
 posicao = [8, 4] - vizinhos: [[9, 4], [7, 4], [8, 3], [8, 5]] 
 posicao = [8, 5] - vizinhos: [[9, 5], [7, 5], [8, 4], [8, 6]] 
 posicao = [8, 6] - vizinhos: [[9, 6], [7, 6], [8, 5], [8, 7]] 
 posicao = [8, 7] - vizinhos: [[9, 7], [7, 7], [8, 6]] 
 posicao = [8, 44] - vizinhos: [[9, 44], [7, 44], [8, 45]] 
 posicao = [8, 45] - vizinhos: [[9, 45], [7, 45], [8, 44], [8, 46]] 
 posicao = [8, 46] - vizinhos: [[9, 46], [7, 46], [8, 45], [8, 47]] 
 posicao = [8, 47] - vizinhos: [[9, 47], [7, 47], [8, 46]] 
 posicao = [9, 2] - vizinhos: [[10, 2], [8, 2], [9, 3]] 
 posicao = [9, 3] - vizinhos: [[10, 3], [8, 3], [9, 2], [9, 4]] 
 posicao = [9, 4] - vizinhos: [[10, 4], [8, 4], [9, 3], [9, 5]] 
 posicao = [9, 5] - vizinhos: [[10, 5], [8, 5], [9, 4], [9, 6]] 
 posicao = [9, 6] - vizinhos: [[10, 6], [8, 6], [9, 5], [9, 7]] 
 posicao = [9, 7] - vizinhos: [[10, 7], [8, 7], [9, 6]] 
 posicao = [9, 44] - vizinhos: [[10, 44], [8, 44], [9, 45]] 
 posicao = [9, 45] - vizinhos: [[10, 45], [8, 45], [9, 44], [9, 46]] 
 posicao = [9, 46] - vizinhos: [[10, 46], [8, 46], [9, 45], [9, 47]] 
 posicao = [9, 47] - vizinhos: [[10, 47], [8, 47], [9, 46]] 
 posicao = [10, 2] - vizinhos: [[11, 2], [9, 2], [10, 3]] 
 posicao = [10, 3] - vizinhos: [[11, 3], [9, 3], [10, 2], [10, 4]] 
 posicao = [10, 4] - vizinhos: [[11, 4], [9, 4], [10, 3], [10, 5]] 
 posicao = [10, 5] - vizinhos: [[11, 5], [9, 5], [10, 4], [10, 6]] 
 posicao = [10, 6] - vizinhos: [[11, 6], [9, 6], [10, 5], [10, 7]] 
 posicao = [10, 7] - vizinhos: [[11, 7], [9, 7], [10, 6]] 
 posicao = [10, 44] - vizinhos: [[11, 44], [9, 44], [10, 45]] 
 posicao = [10, 45] - vizinhos: [[11, 45], [9, 45], [10, 44], [10, 46]] 
 posicao = [10, 46] - vizinhos: [[11, 46], [9, 46], [10, 45], [10, 47]] 
 posicao = [10, 47] - vizinhos: [[11, 47], [9, 47], [10, 46]] 
 posicao = [11, 2] - vizinhos: [[12, 2], [10, 2], [11, 3]] 
 posicao = [11, 3] - vizinhos: [[12, 3], [10, 3], [11, 2], [11, 4]] 
 posicao = [11, 4] - vizinhos: [[12, 4], [10, 4], [11, 3], [11, 5]] 
 posicao = [11, 5] - vizinhos: [[12, 5], [10, 5], [11, 4], [11, 6]] 
 posicao = [11, 6] - vizinhos: [[12, 6], [10, 6], [11, 5], [11, 7]] 
 posicao = [11, 7] - vizinhos: [[12, 7], [10, 7], [11, 6]] 
 posicao = [11, 44] - vizinhos: [[12, 44], [10, 44], [11, 45]] 
 posicao = [11, 45] - vizinhos: [[12, 45], [10, 45], [11, 44], [11, 46]] 
 posicao = [11, 46] - vizinhos: [[12, 46], [10, 46], [11, 45], [11, 47]] 
 posicao = [11, 47] - vizinhos: [[12, 47], [10, 47], [11, 46]] 
 posicao = [12, 2] - vizinhos: [[13, 2], [11, 2], [12, 3]] 
 posicao = [12, 3] - vizinhos: [[13, 3], [11, 3], [12, 2], [12, 4]] 
